Date,open,high,low,close,volume,Lag,RollingMean,52_week_high,52_week_low,52_week_range,Log_Return,3_Year_Volatility,short_term_volatility
2016-01-04,19.7,19.87,19.41,19.76,799582.0,20.53,19.837333333333333,,,,-0.041268595286899475,,0.30533194714903955
2016-01-05,19.64,20.0,19.59,19.89,739013.0,19.7,19.842333333333332,,,,-0.00305033281762298,,0.3052776896105584
2016-01-06,19.7,20.09,19.62,20.08,734084.0,19.64,19.846333333333334,,,,0.0030503328176228754,,0.30511815792774666
2016-01-07,19.55,19.92,19.52,19.62,800486.0,19.7,19.852333333333334,,,,-0.007643349312568012,,0.30427023295996225
2016-01-08,19.58,19.758,19.08,19.17,1093411.0,19.55,19.856333333333332,,,,0.0015333506709893287,,0.3040195901222066
2016-01-11,19.18,19.39,19.12,19.32,486951.0,19.58,19.833666666666666,,,,-0.020640567647072037,,0.30363132679431293
2016-01-12,19.49,19.75,19.13,19.34,923084.0,19.18,19.835333333333335,,,,0.016033444064177206,,0.30133925288807956
2016-01-13,19.4,19.4,18.92,19.08,908661.0,19.49,19.832666666666668,,,,-0.004628447450186949,,0.3015821465412501
2016-01-14,19.14,19.22,18.49,18.69,814347.0,19.4,19.819666666666667,,,,-0.013492680044474195,,0.30391398655333624
2016-01-15,18.38,18.39,17.99,18.28,626231.0,19.14,19.776999999999997,,,,-0.04051726909726735,,0.3241166899545601
2016-01-19,18.11,18.1662,17.1,17.26,1462187.0,18.38,19.734666666666666,,,,-0.01479884503221897,,0.32426672385434036
2016-01-20,16.94,17.76,16.35,17.6,1208638.0,18.11,19.66233333333333,,,,-0.06678658267141356,,0.3732567236230828
2016-01-21,17.71,18.11,17.3,17.82,899375.0,16.94,19.581,,,,0.044451762570833796,,0.3625894683630771
2016-01-22,18.09,18.17,17.38,17.58,645035.0,17.71,19.534333333333333,,,,0.021229847612461536,,0.35911891241226723
2016-01-25,17.6,17.95,17.32,17.41,488034.0,18.09,19.477,,,,-0.027460397363097543,,0.36598265837551164
2016-01-26,17.45,17.83,17.25,17.69,625676.0,17.6,19.418666666666663,,,,-0.00855925339567006,,0.3662174616197679
2016-01-27,17.56,17.78,17.3801,17.59,529967.0,17.45,19.361,,,,0.0062839395585345065,,0.36654681380896303
2016-01-28,17.75,17.92,17.56,17.74,323013.0,17.56,19.309,,,,0.010761927714454328,,0.36858604215728386
2016-01-29,17.66,18.33,17.66,18.29,754272.0,17.75,19.226,,,,-0.0050833207456108635,,0.3425498682025223
2016-02-01,18.26,18.55,18.0,18.41,679701.0,17.66,19.151999999999997,,,,0.033410679991008614,,0.3549277850733278
2016-02-02,18.36,18.53,18.02,18.34,672754.0,18.26,19.080333333333332,,,,0.005461510025521943,,0.35563380181908333
2016-02-03,18.49,18.575,18.11,18.5,440461.0,18.36,19.009666666666664,,,,0.007055660206688975,,0.3561483425411513
